rank,name,position,team,gp,goals,assists,points,plus_minus,pim,ppg,shg,points_per_game,pim_per_game,shots
81,Boris Katchouk,LW,WBS,21,11,5,16,0,10,4,0,0.76,0.48,42
82,Aidan McDonough,LW,CLT,16,10,6,16,2,15,3,0,1.00,0.94,40
83,Seth Griffith,RW,BAK,21,8,8,16,-11,14,0,0,0.76,0.67,29
84,Cameron Hughes,F,TEX,21,8,8,16,-5,24,4,1,0.76,1.14,48
85,Laurent Dauphin,F,LAV,22,8,8,16,8,18,1,1,0.73,0.82,49
86,Matt Luff +,RW,SPR,16,7,9,16,3,4,1,0,1.00,0.25,51
87,Cole Reinhardt,LW,BEL,13,6,10,16,8,4,1,0,1.23,0.31,30
88,Anthony Richard,LW,LV,14,6,10,16,5,4,2,0,1.14,0.29,43
89,Konsta Helenius,C,ROC,26,6,10,16,0,16,1,0,0.62,0.62,61
90,John Hayden,F,CV,21,5,11,16,8,15,0,1,0.76,0.71,51
91,Sam Morton,C,CGY,27,5,11,16,-4,4,2,0,0.59,0.15,51
92,Logan Shaw,F,TOR,22,3,13,16,0,4,1,1,0.73,0.18,41
93,Brett Seney,F,RFD,24,3,13,16,-1,19,1,0,0.67,0.79,48
94,Nate Danielson,C,GR,25,3,13,16,1,23,1,0,0.64,0.92,37
95,Zachary Metsa,D,ROC,26,1,15,16,5,8,0,0,0.62,0.31,48
96,Angus Crookshank,LW,BEL,22,12,3,15,5,6,7,0,0.68,0.27,71
97,Amadeus Lombardi,C,GR,20,9,6,15,-4,2,1,0,0.75,0.10,36
98,Matthew Peca,C,SPR,20,9,6,15,6,6,0,0,0.75,0.30,40
99,Kieffer Bellows,LW,MIL,22,8,7,15,-3,30,3,0,0.68,1.36,68
100,Tristan Broz,C,WBS,22,8,7,15,-3,6,2,0,0.68,0.27,47
